id,Is Action,Is Adventure,Is Animation,Is Christmas Movie,Is Comedy,Is Crime,Is Documentary,Is Drama,Is Family,Is Fantasy,Is Foreign,Is History,Is Horror,Is Music,Is Mystery,Is Romance,Is Science Fiction,Is TV Movie,Is Thriller,Is War,Is Western,Tag: aftercreditsstinger,Tag: alien,Tag: biography,Tag: blood,Tag: corruption,Tag: dark comedy,Tag: death,Tag: detective,Tag: dog,Tag: drug,Tag: dystopia,Tag: england,Tag: escape,Tag: family,Tag: father,Tag: film noir,Tag: friendship,Tag: gangster,Tag: gay,Tag: high school,Tag: independent film,Tag: investigation,Tag: kidnapping,Tag: love,Tag: marriage,Tag: martial arts,Tag: money,Tag: music,Tag: new york,Tag: nudity,Tag: paris,Tag: party,Tag: prison,Tag: remake,Tag: revenge,Tag: robbery,Tag: romance,Tag: secret,Tag: sequel,Tag: serial killer,Tag: small town,Tag: sport,Tag: spy,Tag: stand-up comedy,Tag: suicide,Tag: suspense,Tag: teacher,Tag: teenager,Tag: vampire,Tag: violence,Tag: wedding,Tag: world war ii,adult,imdb_id,popularity,release_date,release_month,release_quarter,release_year,runtime,title,vote_average,vote_count
42479,,,,0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0068379,0.065306,1973-04-19,4.0,2.0,1973.0,84.0,Ciao! Manhattan,5.5,3.0
327389,,,,0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0643109,1.59474,2005-12-16,12.0,4.0,2005.0,59.0,Cigarette Burns,7.5,23.0
11224,,,1.0,0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0042332,14.436858,1950-03-04,3.0,1.0,1950.0,74.0,Cinderella,6.8,1760.0
289673,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0218891,1.085134,2000-01-01,1.0,1.0,2000.0,90.0,Cinderella,5.6,5.0
289673,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0218891,1.085134,2000-01-01,1.0,1.0,2000.0,90.0,Cinderella,5.6,5.0
42884,,,,0,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0128996,2.102013,1997-11-02,11.0,4.0,1997.0,88.0,Cinderella,6.1,28.0
14128,,,1.0,0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1,tt0291082,8.002712,2002-02-23,2.0,1.0,2002.0,74.0,Cinderella II: Dreams Come True,5.5,265.0
16119,,,1.0,0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1,tt0465940,6.961912,2007-02-06,2.0,1.0,2007.0,74.0,Cinderella III: A Twist in Time,6.0,244.0
84847,,,,0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0069883,0.485032,1973-12-18,12.0,4.0,1973.0,117.0,Cinderella Liberty,6.8,4.0
921,,,,0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1,tt0352248,6.363884,2005-06-02,6.0,2.0,2005.0,144.0,Cinderella Man,7.3,630.0
64566,,,,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt1623742,1.131682,2011-04-23,4.0,2.0,2011.0,86.0,Cinema Verite,6.0,16.0
51230,,,,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0281724,0.446688,2002-07-06,7.0,3.0,2002.0,79.0,Cinemania,7.1,10.0
212752,,,,0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt2338062,0.73421,2013-09-06,9.0,3.0,2013.0,89.0,Cinemanovels,6.0,3.0
49835,,,,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0847474,0.188393,2006-06-25,6.0,2.0,2006.0,86.0,Cinematographer Style,6.3,4.0
335866,,,,0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt3118452,6.735649,2015-10-02,10.0,4.0,2015.0,87.0,Circle,6.0,342.0
22625,,,,0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0112679,2.605521,1995-03-16,3.0,1.0,1995.0,103.0,Circle of Friends,6.5,30.0
23739,,,,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0078975,1.022584,1978-07-25,7.0,3.0,1978.0,102.0,Circle of Iron,5.9,14.0
